typing_speed,typos,sleep_hours,screen_hours,expression,user_type,stress_level
21,15,10.3,1.1,sad,professional,97.5
51,15,8.4,6.4,angry,professional,77.5
56,0,7.2,6.8,surprise,student,15.0
13,1,5.3,15.0,disgust,professional,91.5
82,15,2.2,14.0,neutral,casual,100.0
66,5,4.1,0.5,surprise,gamer,27.5
94,7,5.5,13.3,happy,professional,60.5
31,14,3.2,8.2,neutral,casual,71.0
26,14,8.0,0.8,angry,gamer,81.0
113,4,8.6,11.1,happy,student,61.0
92,15,9.9,6.7,surprise,gamer,62.5
99,11,1.7,15.2,happy,student,91.5
78,10,10.6,12.6,surprise,professional,60.0
11,1,9.9,7.8,surprise,casual,56.5
54,11,6.8,4.5,sad,casual,71.5
21,12,9.1,4.4,happy,gamer,58.0
103,3,9.6,6.2,sad,professional,79.5
19,2,2.3,15.9,disgust,gamer,100.0
116,7,8.9,3.0,fear,gamer,80.5
20,11,7.5,7.5,fear,gamer,91.5
50,4,10.6,5.2,angry,student,71.0
38,0,3.6,1.5,No face detected,gamer,55.0
69,5,9.1,9.0,No face detected,gamer,47.5
55,8,9.3,14.8,neutral,professional,62.0
52,10,5.1,10.7,disgust,professional,70.0
117,2,2.1,12.7,No face detected,student,93.0
49,14,2.7,0.7,happy,professional,46.0
18,14,7.2,14.0,surprise,gamer,71.0
29,7,1.0,11.5,No face detected,professional,90.5
44,7,6.9,6.9,neutral,casual,45.5
62,1,1.8,15.5,sad,casual,100.0
77,3,10.9,10.4,sad,student,89.5
72,14,3.1,9.8,surprise,gamer,61.0
74,2,11.0,6.9,neutral,professional,43.0
18,0,1.7,5.5,sad,gamer,80.0
73,15,8.8,6.2,disgust,casual,100.0
104,15,1.2,7.4,angry,professional,100.0
114,3,8.5,9.9,disgust,professional,84.5
46,13,9.2,10.7,happy,student,54.5
32,12,8.8,7.5,happy,student,43.0
27,13,9.7,6.8,sad,casual,79.5
47,7,9.3,7.9,disgust,professional,65.5
18,15,6.8,14.7,fear,casual,97.5
22,6,4.1,10.0,disgust,professional,94.0
23,4,5.3,14.7,sad,casual,71.0
39,3,1.9,4.1,sad,professional,69.5
107,11,8.2,8.6,neutral,student,76.5
81,5,7.2,13.5,fear,student,92.5
62,2,7.7,11.4,disgust,casual,78.0
33,0,4.1,7.6,No face detected,casual,50.0
49,14,7.9,16.0,neutral,gamer,66.0
53,7,2.2,1.6,neutral,gamer,45.5
75,10,9.8,12.9,fear,casual,100.0
52,1,5.4,9.3,sad,gamer,56.5
15,8,5.9,4.9,surprise,professional,52.0
20,4,7.6,6.3,sad,professional,71.0
114,7,1.0,9.2,No face detected,student,90.5
109,7,7.3,10.3,No face detected,student,70.5
98,10,3.4,1.9,angry,professional,85.0
41,7,3.8,1.3,neutral,gamer,55.5
80,13,5.8,7.9,disgust,professional,69.5
113,11,3.7,9.1,neutral,casual,96.5
76,12,8.7,3.3,neutral,casual,73.0
81,8,8.5,11.9,No face detected,student,77.0
54,2,9.2,13.5,happy,casual,58.0
65,1,9.5,12.9,sad,casual,91.5
31,3,6.8,7.2,sad,casual,54.5
46,5,7.5,14.4,happy,gamer,42.5
74,2,6.6,11.1,disgust,student,68.0
104,5,7.1,1.5,sad,student,62.5
27,6,1.1,7.2,surprise,professional,69.0
111,5,4.6,2.1,No face detected,professional,62.5
35,4,7.8,5.9,surprise,casual,26.0
69,7,4.4,10.3,disgust,casual,100.0
74,1,2.6,11.9,fear,gamer,81.5
13,7,8.5,3.2,fear,professional,85.5
54,5,10.9,7.5,fear,casual,100.0
12,9,3.4,3.4,neutral,professional,68.5
49,6,1.6,16.0,neutral,student,69.0
104,0,7.8,10.2,fear,student,85.0
68,0,3.6,11.0,No face detected,casual,80.0
82,9,6.5,12.3,fear,casual,100.0
91,2,4.3,7.2,angry,casual,98.0
112,0,4.9,10.3,fear,student,100.0
36,1,3.0,6.7,sad,student,61.5
58,10,4.8,4.6,happy,gamer,30.0
101,14,5.3,6.4,disgust,professional,91.0
86,6,7.6,5.8,angry,gamer,44.0
90,6,6.4,10.6,fear,gamer,64.0
36,7,1.9,15.4,No face detected,professional,85.5
117,1,7.4,13.7,No face detected,gamer,56.5
93,14,2.6,8.2,No face detected,gamer,81.0
117,15,3.2,10.0,disgust,professional,100.0
101,8,5.6,6.7,surprise,student,62.0
92,0,7.3,13.9,disgust,student,80.0
51,2,9.4,14.2,angry,gamer,78.0
93,1,1.3,11.3,sad,professional,91.5
23,2,6.0,1.0,disgust,professional,58.0
110,13,10.6,13.9,surprise,casual,94.5
113,10,10.0,15.0,neutral,gamer,85.0
114,12,5.3,12.9,No face detected,gamer,83.0
97,4,3.1,3.3,sad,gamer,66.0
53,9,11.0,8.9,happy,student,48.5
31,5,8.2,9.8,neutral,professional,57.5
115,4,7.2,11.4,surprise,student,56.0
103,3,7.1,2.5,neutral,professional,34.5
82,5,8.3,10.9,angry,gamer,67.5
74,12,1.4,2.4,sad,gamer,73.0
13,14,3.9,2.1,angry,student,100.0
56,4,3.4,12.9,fear,student,91.0
90,7,5.0,1.4,disgust,student,70.5
56,12,1.4,9.9,fear,gamer,98.0
59,5,3.4,14.0,surprise,student,57.5
55,12,5.2,12.8,disgust,gamer,78.0
104,6,2.2,4.8,surprise,casual,79.0
35,2,4.7,14.1,happy,professional,53.0
72,3,8.4,5.4,neutral,student,49.5
89,11,6.2,7.6,No face detected,casual,76.5
103,15,10.3,14.1,angry,casual,100.0
20,4,5.4,8.9,sad,gamer,81.0
17,5,10.3,4.7,happy,professional,52.5
118,6,4.4,5.8,surprise,student,64.0
26,15,6.2,13.4,neutral,casual,57.5
72,2,8.6,7.1,No face detected,professional,38.0
